League,Time,Home Team,Away Team,Score
Unknown League,Finished,Uzbekistan W,Philippines W,0 - 2
Unknown League,Finished,Chinese Taipei W,North Korea W,0 - 4
Unknown League,Finished,Bayern Munich,Atalanta,4 - 1
Unknown League,Finished,Liverpool,Galatasaray,4 - 0
Unknown League,Finished,Tottenham,Atl. Madrid,3 - 2
Unknown League,23:15,Freiburg,Genk,vs
Unknown League,23:15,Lyon,Celta Vigo,vs
Unknown League,23:15,Midtjylland,Nottingham,vs
Unknown League,23:15,AEK Athens,Celje,vs
Unknown League,23:15,AEK Larnaca,Crystal Palace,vs
Unknown League,23:15,Mainz,Sigma Olomouc,vs
Unknown League,23:15,Rakow,Fiorentina,vs
Unknown League,Finished,CR Belouizdad,ASO Chlef,2 - 1
Unknown League,Finished,Kabylie,Saoura,0 - 1
Unknown League,Finished,USM Alger,ES Setif,2 - 0
Unknown League,Finished,South Island United,Bula,2 - 3
Unknown League,Finished,Solomon Kings,South Melbourne,1 - 1
Unknown League,Half Time,Karvan,Zira,0 - 0
Unknown League,20:45,Sabah Baku,Sumqayit,- - -
Unknown League,Finished,Al-Muharraq,Al Khalidiyah,0 - 3
Unknown League,Finished,Bahia,Bragantino,2 - 0
Unknown League,Finished,Palmeiras,Botafogo RJ,2 - 1
Unknown League,Finished,Athletico-PR,Cruzeiro,2 - 1
Unknown League,Finished,Atletico-MG,Sao Paulo,1 - 0
Unknown League,Finished,Mirassol,Coritiba,0 - 1
Unknown League,Finished,Santos,Internacional,1 - 2
Unknown League,Finished,Vasco,Fluminense,3 - 2
Unknown League,After Pen.,Vila Nova FC,Confianca,0 - 1
Unknown League,Finished,Atletico GO,Ponte Preta,1 - 0
Unknown League,Finished,CRB,Figueirense,1 - 0
Unknown League,After Pen.,Jacuipense,Novorizontino,1 - 0
Unknown League,Finished,UD Alagoana U20 W,Litoral Norte U20 W,7 - 0
Unknown League,23:30,Atletico-MG U20 W,Acao U20 W,- - -
Unknown League,23:30,Corinthians U20 W,RB Bragantino U20 W,- - -
Unknown League,23:30,Ferroviaria U20 W,Sao Paulo U20 W,- - -
Unknown League,23:30,Sport Recife U20 W,Alianca GO U20 W,- - -
Unknown League,23:30,Taubate U20 W,Taruma U20 W,- - -
Unknown League,23:30,Vasco U20 W,Criciuma U20 W,- - -
Unknown League,23:30,Vitoria U20 W,Craques do Futuro U20 W,- - -
Unknown League,21:30,Spartak Varna,Ludogorets,- - -
Unknown League,"18:30
FRO",Inter Star,Rukinzo,- - -
Unknown League,"18:30
FRO",Ngozi City,Green Farmers,- - -
Unknown League,20:00,Aigle Moungo,Fauve Azur Elite,- - -
Unknown League,20:00,Victoria United,Panthere,- - -
Unknown League,Finished,Dep. Pasto,"Chico
2",2 - 0
Unknown League,Finished,Inter Bogotá,Pereira,2 - 2
Unknown League,Finished,Bucaramanga,Once Caldas,1 - 1
Unknown League,Finished,Dep. Cali,Santa Fe,1 - 1
Unknown League,"17:30
FRO",Celeste,AC Rangers,- - -
Unknown League,"18:30
FRO",Tshikas,Manika,- - -
Unknown League,"19:30
FRO",Anges Verts,Renaissance,- - -
Unknown League,Finished,Macara,Delfin,1 - 0
Unknown League,Finished,Manta,Guayaquil City,0 - 1
Unknown League,Finished,Libertad,Barcelona SC,0 - 0
Unknown League,After ET,El Gaish,ZED,1 - 3
Unknown League,Finished,Aguila,Metapan,1 - 1
Unknown League,Finished,Fuerte San Francisco,Inter F.A,0 - 0
Unknown League,Finished,Alianza FC,Cacahuatique,2 - 1
Unknown League,Finished,Municipal Limeno,Platense Municipal,2 - 0
Unknown League,Finished,FAS,Hercules,4 - 0
Unknown League,Finished,Southampton,Norwich,1 - 0
Unknown League,Finished,MK Dons,Colchester,1 - 0
Unknown League,Finished,Manchester Utd U18,Sunderland U18,3 - 2
Unknown League,Finished,Chelsea W,Brighton W,2 - 1
Unknown League,Finished,West Ham W,Manchester Utd W,0 - 0
Unknown League,Finished,Crystal Palace U21,Real Sociedad B,0 - 3
Unknown League,Finished,Everton U21,Dortmund II,0 - 2
Unknown League,Half Time,Italy U17 W,England U17 W,1 - 1
Unknown League,Half Time,Turkey U17 W,Croatia U17 W,0 - 1
Unknown League,23:30,Quevilly Rouen,Dijon,- - -
Unknown League,Finished,Deportivo Mixco,Deportivo Achuapa,1 - 0
Unknown League,Finished,Mictlan,Malacateco,1 - 0
Unknown League,Finished,Marquense,Coban Imperial,3 - 1
Unknown League,Finished,Juticalpa,Marathon,0 - 4
Unknown League,Finished,Olimpia,Olancho,0 - 0
Unknown League,Finished,Real Espana,Genesis,2 - 1
Unknown League,Finished,Alafoss,Fjolnir,1 - 4
Unknown League,19:30,SC Delhi,Jamshedpur,- - -
Unknown League,68 ,Chanmari,Lajong,1 - 1
Unknown League,18:30,Sreenidi Deccan,Namdhari,- - -
Unknown League,Postponed,Aluminium Arak,Chadormalu,- - -
Unknown League,Postponed,Esteghlal F.C.,Sepahan,- - -
Unknown League,Postponed,Paykan,Foolad,- - -
Unknown League,Finished,Duhok,Erbil,0 - 2
Unknown League,Finished,Zakho,Al-Karma,2 - 2
Unknown League,23:30,Newroz,Al-Qassim,- - -
Unknown League,Finished,Avellino,Sudtirol,3 - 2
Unknown League,Finished,Carrarese,Sampdoria,2 - 0
Unknown League,Finished,Pescara,Entella,3 - 0
Unknown League,Finished,Potenza,Latina,3 - 1
